.
├── 00_tree.txt
├── 01_ext_stats.txt
├── 02_cloc.md
├── 02_loc_quick.txt
├── 03_node_deps.txt
├── 04_py_deps.txt
├── 05_routes.txt
├── 06_env_vars.txt
├── 07_large_assets.txt
├── 08_meta_tags.txt
├── 09_missing_alt.txt
├── 10_todos.txt
├── 11_db_schema.txt
├── app
│   ├── config.py
│   ├── __init__.py
│   ├── models.py
│   ├── __pycache__
│   │   ├── nice-try
│   │   ├── @nodelib
│   │   ├── node-releases
│   │   ├── normalize-package-data
│   │   ├── normalize-range
│   │   ├── npm-run-all
│   │   ├── object.assign
│   │   ├── object-inspect
│   │   ├── object-keys
│   │   ├── once
│   │   ├── optionator
│   │   ├── own-keys
│   │   ├── package-json-from-dist
│   │   ├── parent-module
│   │   ├── parse-json
│   │   ├── path-exists
│   │   ├── path-is-absolute
│   │   ├── path-key
│   │   ├── path-parse
│   │   ├── path-scurry
│   │   ├── path-type
│   │   ├── picocolors
│   │   ├── pidtree
│   │   ├── pify
│   │   ├── @pkgjs
│   │   ├── @pkgr
│   │   ├── p-limit
│   │   ├── p-locate
│   │   ├── possible-typed-array-names
│   │   ├── postcss
│   │   ├── postcss-value-parser
│   │   ├── prelude-ls
│   │   ├── prettier
│   │   ├── prettier-linter-helpers
│   │   ├── punycode
│   │   ├── queue-microtask
│   │   ├── read-pkg
│   │   ├── reflect.getprototypeof
│   │   ├── regexp.prototype.flags
│   │   ├── resolve
│   │   ├── resolve-from
│   │   ├── reusify
│   │   ├── rimraf
│   │   ├── run-parallel
│   │   ├── safe-array-concat
│   │   ├── safe-push-apply
│   │   ├── safe-regex-test
│   │   ├── semver
│   │   ├── set-function-length
│   │   ├── set-function-name
│   │   ├── set-proto
│   │   ├── shebang-command
│   │   ├── shebang-regex
│   │   ├── shell-quote
│   │   ├── side-channel
│   │   ├── side-channel-list
│   │   ├── side-channel-map
│   │   ├── side-channel-weakmap
│   │   ├── signal-exit
│   │   ├── source-map-js
│   │   ├── spdx-correct
│   │   ├── spdx-exceptions
│   │   ├── spdx-expression-parse
│   │   ├── spdx-license-ids
│   │   ├── stop-iteration-iterator
│   │   ├── string.prototype.padend
│   │   ├── string.prototype.trim
│   │   ├── string.prototype.trimend
│   │   ├── string.prototype.trimstart
│   │   ├── string-width
│   │   ├── string-width-cjs
│   │   ├── strip-ansi
│   │   ├── strip-ansi-cjs
│   │   ├── strip-bom
│   │   ├── strip-json-comments
│   │   ├── supports-color
│   │   ├── supports-preserve-symlinks-flag
│   │   ├── synckit
│   │   ├── tailwindcss
│   │   ├── text-table
│   │   ├── type-check
│   │   ├── typed-array-buffer
│   │   ├── typed-array-byte-length
│   │   ├── typed-array-byte-offset
│   │   ├── typed-array-length
│   │   ├── type-fest
│   │   ├── unbox-primitive
│   │   ├── @ungap
│   │   ├── update-browserslist-db
│   │   ├── uri-js
│   │   ├── validate-npm-package-license
│   │   ├── which
│   │   ├── which-boxed-primitive
│   │   ├── which-builtin-type
│   │   ├── which-collection
│   │   ├── which-typed-array
│   │   ├── word-wrap
│   │   ├── wrap-ansi
│   │   ├── wrap-ansi-cjs
│   │   ├── wrappy
│   │   └── yocto-queue
│   ├── package.json
│   ├── package.json.bak
│   ├── package-lock.json
│   ├── patch_missing_init.sh
│   └── routes
│       ├── api.py
│       └── __init__.py
├── copy_styles.sh
├── edit-sections.sh
├── instance
├── js
│   ├── postcss.config.js
│   └── tailwind.config.js
├── LICENSE
├── missing_classes.txt
├── nextjs_to_flask_detox.sh
├── nextjs_to_flask_superdetox.sh
├── node_modules
│   ├── acorn
│   │   ├── bin
│   │   ├── CHANGELOG.md
│   │   ├── dist
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── acorn-jsx
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── xhtml.js
│   ├── ajv
│   │   ├── dist
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── scripts
│   ├── ansi-regex
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── license
│   │   ├── package.json
│   │   └── readme.md
│   ├── ansi-styles
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── license
│   │   ├── package.json
│   │   └── readme.md
│   ├── argparse
│   │   ├── argparse.js
│   │   ├── CHANGELOG.md
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── array-buffer-byte-length
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── arraybuffer.prototype.slice
│   │   ├── auto.js
│   │   ├── CHANGELOG.md
│   │   ├── implementation.js
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── polyfill.js
│   │   ├── README.md
│   │   ├── shim.js
│   │   └── test
│   ├── async-function
│   │   ├── CHANGELOG.md
│   │   ├── index.d.mts
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── index.mjs
│   │   ├── legacy.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── require.mjs
│   │   ├── test
│   │   └── tsconfig.json
│   ├── autoprefixer
│   │   ├── bin
│   │   ├── data
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── available-typed-arrays
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── balanced-match
│   │   ├── index.js
│   │   ├── LICENSE.md
│   │   ├── package.json
│   │   └── README.md
│   ├── brace-expansion
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── browserslist
│   │   ├── browser.js
│   │   ├── cli.js
│   │   ├── error.d.ts
│   │   ├── error.js
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── node.js
│   │   ├── package.json
│   │   ├── parse.js
│   │   └── README.md
│   ├── call-bind
│   │   ├── callBound.js
│   │   ├── CHANGELOG.md
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── test
│   ├── call-bind-apply-helpers
│   │   ├── actualApply.d.ts
│   │   ├── actualApply.js
│   │   ├── applyBind.d.ts
│   │   ├── applyBind.js
│   │   ├── CHANGELOG.md
│   │   ├── functionApply.d.ts
│   │   ├── functionApply.js
│   │   ├── functionCall.d.ts
│   │   ├── functionCall.js
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── reflectApply.d.ts
│   │   ├── reflectApply.js
│   │   ├── test
│   │   └── tsconfig.json
│   ├── call-bound
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── callsites
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── license
│   │   ├── package.json
│   │   └── readme.md
│   ├── caniuse-lite
│   │   ├── data
│   │   ├── dist
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── chalk
│   │   ├── index.d.ts
│   │   ├── license
│   │   ├── package.json
│   │   ├── readme.md
│   │   └── source
│   ├── color-convert
│   │   ├── CHANGELOG.md
│   │   ├── conversions.js
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── route.js
│   ├── color-name
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── concat-map
│   │   ├── example
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.markdown
│   │   └── test
│   ├── cross-spawn
│   │   ├── index.js
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── data-view-buffer
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── data-view-byte-length
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── data-view-byte-offset
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── debug
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── src
│   ├── deep-is
│   │   ├── example
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.markdown
│   │   └── test
│   ├── define-data-property
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── define-properties
│   │   ├── CHANGELOG.md
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── doctrine
│   │   ├── CHANGELOG.md
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── LICENSE.closure-compiler
│   │   ├── LICENSE.esprima
│   │   ├── package.json
│   │   └── README.md
│   ├── dunder-proto
│   │   ├── CHANGELOG.md
│   │   ├── get.d.ts
│   │   ├── get.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── set.d.ts
│   │   ├── set.js
│   │   ├── test
│   │   └── tsconfig.json
│   ├── eastasianwidth
│   │   ├── eastasianwidth.js
│   │   ├── package.json
│   │   └── README.md
│   ├── electron-to-chromium
│   │   ├── chromium-versions.js
│   │   ├── chromium-versions.json
│   │   ├── full-chromium-versions.js
│   │   ├── full-chromium-versions.json
│   │   ├── full-versions.js
│   │   ├── full-versions.json
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── versions.js
│   │   └── versions.json
│   ├── emoji-regex
│   │   ├── es2015
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE-MIT.txt
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── RGI_Emoji.d.ts
│   │   ├── RGI_Emoji.js
│   │   ├── text.d.ts
│   │   └── text.js
│   ├── error-ex
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── es-abstract
│   │   ├── 2015
│   │   ├── 2016
│   │   ├── 2017
│   │   ├── 2018
│   │   ├── 2019
│   │   ├── 2020
│   │   ├── 2021
│   │   ├── 2022
│   │   ├── 2023
│   │   ├── 2024
│   │   ├── 2025
│   │   ├── 5
│   │   ├── CHANGELOG.md
│   │   ├── es2015.js
│   │   ├── es2016.js
│   │   ├── es2017.js
│   │   ├── es2018.js
│   │   ├── es2019.js
│   │   ├── es2020.js
│   │   ├── es2021.js
│   │   ├── es2022.js
│   │   ├── es2023.js
│   │   ├── es2024.js
│   │   ├── es2025.js
│   │   ├── es5.js
│   │   ├── es6.js
│   │   ├── es7.js
│   │   ├── GetIntrinsic.js
│   │   ├── helpers
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── operations
│   │   ├── package.json
│   │   └── README.md
│   ├── @esbuild
│   │   └── linux-x64
│   ├── esbuild
│   │   ├── bin
│   │   ├── install.js
│   │   ├── lib
│   │   ├── LICENSE.md
│   │   ├── package.json
│   │   └── README.md
│   ├── escalade
│   │   ├── dist
│   │   ├── index.d.mts
│   │   ├── index.d.ts
│   │   ├── license
│   │   ├── package.json
│   │   ├── readme.md
│   │   └── sync
│   ├── escape-string-regexp
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── license
│   │   ├── package.json
│   │   └── readme.md
│   ├── es-define-property
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── es-errors
│   │   ├── CHANGELOG.md
│   │   ├── eval.d.ts
│   │   ├── eval.js
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── range.d.ts
│   │   ├── range.js
│   │   ├── README.md
│   │   ├── ref.d.ts
│   │   ├── ref.js
│   │   ├── syntax.d.ts
│   │   ├── syntax.js
│   │   ├── test
│   │   ├── tsconfig.json
│   │   ├── type.d.ts
│   │   ├── type.js
│   │   ├── uri.d.ts
│   │   └── uri.js
│   ├── @eslint
│   │   ├── eslintrc
│   │   └── js
│   ├── eslint
│   │   ├── bin
│   │   ├── conf
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── messages
│   │   ├── package.json
│   │   └── README.md
│   ├── @eslint-community
│   │   ├── eslint-utils
│   │   └── regexpp
│   ├── eslint-config-prettier
│   │   ├── babel.js
│   │   ├── bin
│   │   ├── flowtype.js
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── prettier.js
│   │   ├── react.js
│   │   ├── README.md
│   │   ├── standard.js
│   │   ├── @typescript-eslint.js
│   │   ├── unicorn.js
│   │   └── vue.js
│   ├── eslint-plugin-prettier
│   │   ├── eslint-plugin-prettier.d.ts
│   │   ├── eslint-plugin-prettier.js
│   │   ├── LICENSE.md
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── recommended.d.ts
│   │   ├── recommended.js
│   │   └── worker.mjs
│   ├── eslint-scope
│   │   ├── dist
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── eslint-visitor-keys
│   │   ├── dist
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── es-object-atoms
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── isObject.d.ts
│   │   ├── isObject.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── RequireObjectCoercible.d.ts
│   │   ├── RequireObjectCoercible.js
│   │   ├── test
│   │   ├── ToObject.d.ts
│   │   ├── ToObject.js
│   │   └── tsconfig.json
│   ├── espree
│   │   ├── dist
│   │   ├── espree.js
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── esquery
│   │   ├── dist
│   │   ├── license.txt
│   │   ├── package.json
│   │   ├── parser.js
│   │   └── README.md
│   ├── esrecurse
│   │   ├── esrecurse.js
│   │   ├── gulpfile.babel.js
│   │   ├── package.json
│   │   └── README.md
│   ├── es-set-tostringtag
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── es-to-primitive
│   │   ├── CHANGELOG.md
│   │   ├── es2015.d.ts
│   │   ├── es2015.js
│   │   ├── es5.d.ts
│   │   ├── es5.js
│   │   ├── es6.d.ts
│   │   ├── es6.js
│   │   ├── helpers
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── estraverse
│   │   ├── estraverse.js
│   │   ├── gulpfile.js
│   │   ├── LICENSE.BSD
│   │   ├── package.json
│   │   └── README.md
│   ├── esutils
│   │   ├── lib
│   │   ├── LICENSE.BSD
│   │   ├── package.json
│   │   └── README.md
│   ├── fast-deep-equal
│   │   ├── es6
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── react.d.ts
│   │   ├── react.js
│   │   └── README.md
│   ├── fast-diff
│   │   ├── diff.d.ts
│   │   ├── diff.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── fast-json-stable-stringify
│   │   ├── benchmark
│   │   ├── example
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── test
│   ├── fast-levenshtein
│   │   ├── levenshtein.js
│   │   ├── LICENSE.md
│   │   ├── package.json
│   │   └── README.md
│   ├── fastq
│   │   ├── bench.js
│   │   ├── example.js
│   │   ├── example.mjs
│   │   ├── index.d.ts
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── queue.js
│   │   ├── README.md
│   │   ├── SECURITY.md
│   │   └── test
│   ├── file-entry-cache
│   │   ├── cache.js
│   │   ├── changelog.md
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── find-up
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── license
│   │   ├── package.json
│   │   └── readme.md
│   ├── flat-cache
│   │   ├── changelog.md
│   │   ├── LICENSE
│   │   ├── node_modules
│   │   ├── package.json
│   │   ├── README.md
│   │   └── src
│   ├── flatted
│   │   ├── cjs
│   │   ├── es.js
│   │   ├── esm
│   │   ├── esm.js
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── min.js
│   │   ├── package.json
│   │   ├── php
│   │   ├── python
│   │   ├── README.md
│   │   └── types
│   ├── focus-visible
│   │   ├── CODE_OF_CONDUCT.md
│   │   ├── CONTRIBUTING.md
│   │   ├── demo
│   │   ├── dist
│   │   ├── explainer.md
│   │   ├── LICENSE.md
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── rollup.config.js
│   │   ├── src
│   │   ├── test
│   │   └── w3c.json
│   ├── for-each
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── foreground-child
│   │   ├── dist
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── fraction.js
│   │   ├── bigfraction.js
│   │   ├── fraction.cjs
│   │   ├── fraction.d.ts
│   │   ├── fraction.js
│   │   ├── fraction.min.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── fs.realpath
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── old.js
│   │   ├── package.json
│   │   └── README.md
│   ├── function-bind
│   │   ├── CHANGELOG.md
│   │   ├── implementation.js
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── test
│   ├── function.prototype.name
│   │   ├── auto.js
│   │   ├── CHANGELOG.md
│   │   ├── helpers
│   │   ├── implementation.js
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── polyfill.js
│   │   ├── README.md
│   │   ├── shim.js
│   │   └── test
│   ├── functions-have-names
│   │   ├── CHANGELOG.md
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── test
│   ├── get-intrinsic
│   │   ├── CHANGELOG.md
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── test
│   ├── get-proto
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── Object.getPrototypeOf.d.ts
│   │   ├── Object.getPrototypeOf.js
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── Reflect.getPrototypeOf.d.ts
│   │   ├── Reflect.getPrototypeOf.js
│   │   ├── test
│   │   └── tsconfig.json
│   ├── get-symbol-description
│   │   ├── CHANGELOG.md
│   │   ├── getInferredName.d.ts
│   │   ├── getInferredName.js
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── glob
│   │   ├── dist
│   │   ├── LICENSE
│   │   ├── node_modules
│   │   ├── package.json
│   │   └── README.md
│   ├── globals
│   │   ├── globals.json
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── license
│   │   ├── package.json
│   │   └── readme.md
│   ├── globalthis
│   │   ├── auto.js
│   │   ├── CHANGELOG.md
│   │   ├── implementation.browser.js
│   │   ├── implementation.js
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── polyfill.js
│   │   ├── README.md
│   │   ├── shim.js
│   │   └── test
│   ├── glob-parent
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── gopd
│   │   ├── CHANGELOG.md
│   │   ├── gOPD.d.ts
│   │   ├── gOPD.js
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── graceful-fs
│   │   ├── clone.js
│   │   ├── graceful-fs.js
│   │   ├── legacy-streams.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── polyfills.js
│   │   └── README.md
│   ├── graphemer
│   │   ├── CHANGELOG.md
│   │   ├── lib
│   │   ├── LICENSE
│   │   ├── package.json
│   │   └── README.md
│   ├── has-bigints
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   ├── test
│   │   └── tsconfig.json
│   ├── has-flag
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── license
│   │   ├── package.json
│   │   └── readme.md
│   ├── hasown
│   │   ├── CHANGELOG.md
│   │   ├── index.d.ts
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── tsconfig.json
│   ├── has-property-descriptors
│   │   ├── CHANGELOG.md
│   │   ├── index.js
│   │   ├── LICENSE
│   │   ├── package.json
│   │   ├── README.md
│   │   └── test
│   ├── has-proto
│   │   ├── accessor.d.ts
│   │   ├── accessor.js
